时间,烟气层,CO,透光,1D,0.5D,辐射3,1.5D,1-1,1-2,1-3,1-4,1-5,1-6,1-7,1-8,1-9,1-10,1-11,1-12,1-13,1-14,1-15,1-16,1-17,1-18,1-19,1-20,1-21,1-22,1-23,1-24,1-25,1-26,1-27,1-28,1-29,1-30,1-31,1-32,1-33,1-34,1-35,1-36,1-37,1-38,1-39,1-40,2-1,2-2,2-3,2-4,2-5,2-6,2-7,2-8,2-9,2-10,2-11,2-12,2-13,2-14,2-15,2-16,2-17,2-18,2-19,2-20,2-21,2-22,2-23,2-24,2-25,2-26,2-27,2-28,2-29,2-30,2-31,2-32,2-33,2-34,2-35,2-36,2-37,2-38,2-39,2-40,3-1,3-2,3-3,3-4,3-5,3-6,3-7,3-8,3-9,3-10,3-11,3-12,3-13,3-14,3-15,3-16,3-17,3-18,3-19,3-20,3-21,3-22,3-23,3-24,3-25,3-26,3-27,3-28,3-29,3-30,3-31,3-32,3-33,3-34,3-35,3-36,3-37,3-38,3-39,3-40,4-1,4-2,4-3,4-4,4-5,4-6,4-7,4-8,4-9,4-10,4-11,4-12,4-13,4-14,4-15,4-16,4-17,4-18,4-19,4-20,4-21,4-22,4-23,4-24,4-25,4-26,4-27,4-28,4-29,4-30,4-31,4-32,4-33,4-34,4-35,4-36,4-37,4-38,4-39,4-40,layer1_mean,layer2_mean,layer3_mean,layer4_mean
493.0,,18.0,0.525,0.143,0.211,-0.025,0.11,43.0,41.0,39.0,40.0,41.0,42.0,43.0,41.0,46.0,46.0,43.0,41.0,39.0,41.0,42.0,40.0,37.0,39.0,38.0,37.0,34.0,35.0,36.0,34.0,34.0,33.0,34.0,34.0,,,40.0,40.0,34.0,34.0,,,51.0,46.0,38.0,41.0,41.0,41.0,36.0,36.0,45.0,42.0,40.0,42.0,41.0,41.0,35.0,36.0,42.0,42.0,39.0,41.0,41.0,40.0,35.0,35.0,41.0,41.0,38.0,39.0,41.0,40.0,35.0,34.0,41.0,40.0,40.0,39.0,40.0,40.0,34.0,35.0,41.0,38.0,37.0,37.0,42.0,40.0,35.0,35.0,39.0,40.0,39.0,37.0,39.0,39.0,34.0,35.0,40.0,39.0,38.0,38.0,40.0,39.0,34.0,35.0,39.0,39.0,37.0,37.0,39.0,38.0,33.0,34.0,38.0,38.0,37.0,37.0,38.0,38.0,33.0,34.0,37.0,37.0,36.0,35.0,38.0,39.0,34.0,34.0,37.0,37.0,37.0,36.0,39.0,39.0,34.0,34.0,36.0,37.0,36.0,36.0,38.0,38.0,33.0,33.0,36.0,36.0,34.0,34.0,37.0,37.0,32.0,33.0,34.0,35.0,33.0,33.0,,,,,,,,,39.361111111111114,39.05,37.275,35.59375
494.0,,18.0,0.5253,0.138,0.223,-0.025,0.104,43.0,41.0,39.0,40.0,41.0,42.0,43.0,41.0,46.0,46.0,43.0,41.0,39.0,41.0,42.0,40.0,37.0,39.0,38.0,37.0,34.0,35.0,36.0,34.0,34.0,33.0,34.0,34.0,,,40.0,40.0,34.0,34.0,,,51.0,46.0,38.0,41.0,41.0,41.0,36.0,36.0,45.0,42.0,40.0,42.0,41.0,41.0,35.0,36.0,42.0,42.0,39.0,41.0,41.0,40.0,35.0,35.0,41.0,41.0,38.0,39.0,41.0,40.0,35.0,34.0,41.0,40.0,39.0,39.0,40.0,40.0,34.0,35.0,41.0,38.0,37.0,37.0,42.0,40.0,35.0,35.0,39.0,40.0,39.0,37.0,39.0,39.0,34.0,35.0,40.0,39.0,38.0,38.0,40.0,39.0,34.0,35.0,39.0,39.0,37.0,37.0,39.0,38.0,33.0,34.0,38.0,38.0,37.0,37.0,38.0,38.0,33.0,34.0,37.0,37.0,36.0,35.0,38.0,39.0,34.0,34.0,37.0,37.0,37.0,36.0,39.0,39.0,34.0,34.0,36.0,37.0,35.0,36.0,38.0,38.0,33.0,33.0,36.0,36.0,34.0,34.0,37.0,37.0,32.0,33.0,34.0,35.0,33.0,33.0,,,,,,,,,39.361111111111114,39.025,37.275,35.5625
495.0,,18.0,0.5253,0.126,0.223,-0.03,0.097,43.0,41.0,39.0,40.0,41.0,42.0,43.0,41.0,46.0,46.0,43.0,41.0,39.0,41.0,42.0,40.0,37.0,39.0,38.0,37.0,34.0,35.0,36.0,34.0,34.0,33.0,34.0,34.0,,,40.0,40.0,34.0,34.0,,,51.0,46.0,38.0,41.0,41.0,41.0,36.0,36.0,45.0,42.0,40.0,42.0,41.0,41.0,35.0,36.0,42.0,42.0,39.0,41.0,41.0,40.0,35.0,35.0,41.0,41.0,38.0,39.0,41.0,40.0,35.0,34.0,41.0,40.0,39.0,39.0,40.0,40.0,34.0,35.0,41.0,38.0,37.0,37.0,42.0,40.0,35.0,35.0,39.0,40.0,39.0,37.0,39.0,39.0,34.0,35.0,40.0,39.0,38.0,38.0,40.0,39.0,34.0,35.0,39.0,39.0,37.0,37.0,39.0,38.0,33.0,34.0,38.0,38.0,37.0,37.0,38.0,38.0,33.0,34.0,37.0,37.0,36.0,35.0,38.0,39.0,34.0,34.0,37.0,37.0,37.0,36.0,39.0,39.0,34.0,34.0,36.0,37.0,35.0,36.0,38.0,38.0,33.0,33.0,36.0,36.0,34.0,34.0,37.0,37.0,32.0,33.0,34.0,35.0,33.0,33.0,,,,,,,,,39.361111111111114,39.025,37.275,35.5625
496.0,,17.0,0.5253,0.13,0.205,-0.025,0.097,43.0,41.0,39.0,40.0,41.0,42.0,43.0,41.0,46.0,46.0,43.0,41.0,39.0,41.0,42.0,40.0,37.0,39.0,38.0,37.0,34.0,35.0,36.0,34.0,34.0,33.0,34.0,34.0,,,40.0,40.0,34.0,34.0,,,51.0,46.0,38.0,41.0,41.0,41.0,36.0,36.0,45.0,42.0,40.0,42.0,41.0,41.0,35.0,36.0,42.0,42.0,39.0,41.0,41.0,40.0,35.0,35.0,41.0,41.0,38.0,39.0,41.0,40.0,35.0,34.0,41.0,39.0,39.0,39.0,40.0,40.0,34.0,35.0,41.0,38.0,37.0,37.0,42.0,40.0,35.0,35.0,39.0,40.0,39.0,37.0,39.0,39.0,34.0,35.0,40.0,39.0,38.0,38.0,40.0,39.0,34.0,35.0,39.0,39.0,37.0,37.0,39.0,38.0,33.0,34.0,38.0,38.0,37.0,37.0,38.0,38.0,33.0,34.0,37.0,37.0,35.0,35.0,38.0,39.0,34.0,34.0,37.0,37.0,37.0,36.0,39.0,39.0,34.0,34.0,36.0,37.0,35.0,36.0,38.0,38.0,33.0,33.0,36.0,36.0,34.0,34.0,37.0,37.0,32.0,33.0,34.0,35.0,33.0,33.0,,,,,,,,,39.361111111111114,39.0,37.25,35.5625
497.0,,17.0,0.5253,0.126,0.211,-0.025,0.104,43.0,41.0,39.0,40.0,41.0,42.0,43.0,41.0,46.0,46.0,43.0,41.0,39.0,41.0,42.0,40.0,37.0,39.0,38.0,37.0,34.0,35.0,36.0,34.0,34.0,33.0,34.0,34.0,,,40.0,40.0,34.0,34.0,,,51.0,46.0,38.0,41.0,41.0,41.0,36.0,36.0,45.0,42.0,40.0,42.0,41.0,41.0,35.0,36.0,42.0,42.0,39.0,41.0,41.0,40.0,35.0,35.0,41.0,41.0,38.0,39.0,41.0,40.0,35.0,34.0,41.0,39.0,39.0,39.0,40.0,40.0,34.0,35.0,41.0,38.0,37.0,37.0,42.0,40.0,35.0,35.0,39.0,40.0,39.0,37.0,39.0,39.0,34.0,35.0,40.0,39.0,38.0,38.0,40.0,39.0,34.0,35.0,39.0,39.0,37.0,37.0,39.0,38.0,33.0,34.0,38.0,38.0,37.0,37.0,38.0,38.0,33.0,34.0,37.0,37.0,35.0,35.0,38.0,39.0,34.0,34.0,37.0,37.0,37.0,36.0,39.0,39.0,34.0,34.0,36.0,37.0,35.0,36.0,38.0,38.0,33.0,33.0,36.0,36.0,34.0,34.0,37.0,37.0,32.0,33.0,34.0,35.0,33.0,33.0,,,,,,,,,39.361111111111114,39.0,37.25,35.5625
498.0,,17.0,0.5253,0.126,0.223,-0.025,0.097,43.0,41.0,39.0,40.0,41.0,42.0,43.0,41.0,45.0,46.0,43.0,41.0,39.0,41.0,42.0,40.0,36.0,39.0,38.0,37.0,34.0,35.0,36.0,34.0,34.0,33.0,34.0,34.0,,,40.0,40.0,34.0,34.0,,,51.0,46.0,38.0,41.0,41.0,41.0,36.0,36.0,45.0,42.0,39.0,42.0,41.0,41.0,35.0,36.0,42.0,42.0,39.0,41.0,41.0,40.0,35.0,35.0,41.0,41.0,38.0,39.0,41.0,40.0,35.0,34.0,41.0,39.0,39.0,39.0,40.0,40.0,34.0,35.0,41.0,38.0,37.0,37.0,42.0,40.0,35.0,35.0,39.0,40.0,39.0,37.0,39.0,39.0,34.0,34.0,40.0,39.0,38.0,38.0,40.0,39.0,34.0,35.0,39.0,39.0,37.0,37.0,39.0,38.0,33.0,34.0,38.0,38.0,37.0,37.0,38.0,38.0,33.0,34.0,37.0,37.0,35.0,35.0,38.0,39.0,34.0,34.0,37.0,37.0,37.0,36.0,39.0,39.0,34.0,34.0,36.0,37.0,35.0,36.0,38.0,38.0,33.0,33.0,36.0,36.0,34.0,34.0,37.0,37.0,32.0,33.0,34.0,35.0,33.0,33.0,,,,,,,,,39.30555555555556,38.975,37.225,35.5625
499.0,,17.0,0.5253,0.134,0.229,-0.025,0.104,43.0,41.0,39.0,40.0,41.0,42.0,43.0,41.0,45.0,46.0,43.0,41.0,39.0,41.0,42.0,40.0,36.0,39.0,38.0,37.0,34.0,35.0,36.0,34.0,34.0,33.0,34.0,34.0,,,40.0,40.0,34.0,34.0,,,51.0,46.0,38.0,41.0,41.0,41.0,36.0,36.0,45.0,42.0,39.0,42.0,41.0,41.0,35.0,36.0,42.0,42.0,39.0,41.0,41.0,40.0,35.0,35.0,41.0,41.0,38.0,39.0,41.0,40.0,35.0,34.0,41.0,39.0,39.0,39.0,40.0,40.0,34.0,35.0,41.0,38.0,37.0,37.0,42.0,40.0,35.0,35.0,39.0,40.0,39.0,37.0,39.0,39.0,34.0,34.0,40.0,39.0,38.0,38.0,40.0,39.0,34.0,35.0,39.0,39.0,37.0,37.0,39.0,38.0,33.0,34.0,38.0,38.0,37.0,37.0,38.0,38.0,33.0,34.0,37.0,37.0,35.0,35.0,38.0,39.0,34.0,34.0,37.0,37.0,37.0,36.0,39.0,39.0,34.0,34.0,36.0,37.0,35.0,36.0,38.0,38.0,33.0,33.0,36.0,36.0,34.0,34.0,37.0,37.0,32.0,33.0,34.0,35.0,33.0,33.0,,,,,,,,,39.30555555555556,38.975,37.225,35.5625
500.0,,17.0,0.5253,0.134,0.223,-0.025,0.104,43.0,41.0,39.0,40.0,41.0,42.0,42.0,41.0,45.0,46.0,43.0,41.0,39.0,41.0,42.0,40.0,36.0,39.0,38.0,37.0,34.0,35.0,36.0,34.0,34.0,33.0,34.0,34.0,,,40.0,40.0,34.0,34.0,,,51.0,46.0,38.0,41.0,41.0,41.0,36.0,36.0,45.0,42.0,39.0,42.0,41.0,41.0,35.0,36.0,42.0,42.0,39.0,41.0,41.0,40.0,35.0,35.0,41.0,41.0,38.0,39.0,41.0,40.0,35.0,34.0,41.0,39.0,39.0,39.0,40.0,40.0,34.0,35.0,41.0,38.0,37.0,37.0,42.0,40.0,35.0,35.0,39.0,40.0,39.0,37.0,39.0,39.0,34.0,34.0,40.0,39.0,38.0,38.0,40.0,39.0,34.0,35.0,39.0,39.0,37.0,37.0,39.0,38.0,33.0,34.0,38.0,38.0,37.0,37.0,38.0,38.0,33.0,34.0,37.0,37.0,35.0,35.0,38.0,38.0,34.0,34.0,37.0,37.0,37.0,36.0,39.0,39.0,34.0,34.0,36.0,37.0,35.0,36.0,38.0,38.0,33.0,33.0,36.0,36.0,34.0,34.0,37.0,37.0,32.0,33.0,34.0,35.0,33.0,33.0,,,,,,,,,39.27777777777778,38.975,37.225,35.53125
501.0,,17.0,0.5253,0.138,0.223,-0.025,0.104,43.0,41.0,39.0,40.0,41.0,42.0,42.0,41.0,45.0,46.0,43.0,41.0,39.0,41.0,42.0,40.0,36.0,39.0,38.0,37.0,34.0,35.0,36.0,34.0,34.0,33.0,34.0,34.0,,,40.0,40.0,34.0,34.0,,,51.0,46.0,38.0,41.0,41.0,41.0,36.0,36.0,45.0,42.0,39.0,42.0,41.0,41.0,35.0,36.0,42.0,42.0,39.0,40.0,41.0,40.0,35.0,35.0,41.0,41.0,38.0,39.0,41.0,40.0,35.0,34.0,41.0,39.0,39.0,39.0,40.0,40.0,34.0,35.0,41.0,38.0,37.0,37.0,42.0,40.0,35.0,35.0,39.0,40.0,39.0,37.0,39.0,39.0,34.0,34.0,40.0,39.0,38.0,38.0,40.0,39.0,34.0,35.0,39.0,39.0,37.0,37.0,39.0,38.0,33.0,34.0,38.0,38.0,37.0,37.0,38.0,38.0,33.0,34.0,37.0,37.0,35.0,35.0,38.0,38.0,34.0,34.0,37.0,37.0,37.0,36.0,39.0,39.0,34.0,34.0,36.0,37.0,35.0,36.0,38.0,38.0,33.0,33.0,36.0,36.0,34.0,34.0,37.0,37.0,32.0,33.0,34.0,35.0,33.0,33.0,,,,,,,,,39.27777777777778,38.95,37.225,35.53125
502.0,,17.0,0.5249,0.151,0.229,-0.025,0.11,43.0,41.0,39.0,40.0,41.0,42.0,42.0,41.0,45.0,46.0,43.0,41.0,39.0,41.0,42.0,40.0,36.0,39.0,38.0,37.0,34.0,35.0,36.0,34.0,34.0,33.0,34.0,34.0,,,40.0,40.0,34.0,34.0,,,51.0,46.0,38.0,41.0,41.0,41.0,36.0,36.0,45.0,42.0,39.0,42.0,41.0,41.0,35.0,36.0,42.0,42.0,39.0,40.0,41.0,40.0,35.0,35.0,41.0,41.0,38.0,39.0,41.0,40.0,35.0,34.0,41.0,39.0,39.0,39.0,40.0,40.0,34.0,35.0,41.0,38.0,37.0,37.0,42.0,40.0,35.0,35.0,39.0,40.0,39.0,37.0,39.0,39.0,34.0,34.0,40.0,39.0,38.0,38.0,40.0,39.0,34.0,35.0,39.0,39.0,37.0,37.0,39.0,38.0,33.0,34.0,38.0,38.0,37.0,37.0,38.0,38.0,33.0,34.0,37.0,37.0,35.0,35.0,38.0,38.0,34.0,34.0,37.0,37.0,37.0,36.0,39.0,39.0,34.0,34.0,36.0,37.0,35.0,36.0,38.0,38.0,33.0,33.0,36.0,36.0,34.0,34.0,37.0,37.0,32.0,33.0,34.0,35.0,33.0,33.0,,,,,,,,,39.27777777777778,38.95,37.225,35.53125
503.0,,17.0,0.5255,0.134,0.229,-0.025,0.097,43.0,41.0,39.0,40.0,41.0,42.0,42.0,41.0,45.0,46.0,43.0,41.0,39.0,41.0,42.0,40.0,36.0,39.0,38.0,37.0,34.0,35.0,36.0,34.0,34.0,33.0,34.0,34.0,,,40.0,40.0,34.0,34.0,,,51.0,46.0,38.0,41.0,41.0,41.0,36.0,36.0,45.0,42.0,39.0,42.0,41.0,41.0,35.0,36.0,42.0,41.0,39.0,40.0,41.0,40.0,35.0,35.0,41.0,41.0,38.0,39.0,41.0,40.0,35.0,34.0,41.0,39.0,39.0,39.0,40.0,40.0,34.0,35.0,41.0,38.0,37.0,37.0,42.0,40.0,35.0,35.0,39.0,40.0,39.0,37.0,39.0,39.0,34.0,34.0,40.0,39.0,38.0,38.0,40.0,39.0,34.0,35.0,39.0,39.0,37.0,37.0,39.0,38.0,33.0,34.0,38.0,38.0,37.0,37.0,38.0,38.0,33.0,34.0,37.0,36.0,35.0,35.0,38.0,38.0,34.0,34.0,37.0,37.0,37.0,36.0,39.0,39.0,34.0,34.0,36.0,37.0,35.0,36.0,38.0,38.0,33.0,33.0,36.0,36.0,34.0,34.0,37.0,37.0,32.0,33.0,34.0,35.0,33.0,33.0,,,,,,,,,39.27777777777778,38.925,37.2,35.53125
504.0,,17.0,0.5257,0.13,0.252,-0.025,0.097,43.0,41.0,39.0,40.0,41.0,42.0,42.0,41.0,45.0,46.0,43.0,41.0,39.0,41.0,42.0,40.0,36.0,39.0,38.0,37.0,34.0,35.0,35.0,34.0,34.0,33.0,34.0,34.0,,,40.0,40.0,34.0,34.0,,,51.0,46.0,38.0,41.0,41.0,41.0,36.0,36.0,45.0,42.0,39.0,42.0,41.0,41.0,35.0,36.0,42.0,41.0,39.0,40.0,41.0,40.0,35.0,35.0,41.0,41.0,38.0,39.0,41.0,40.0,34.0,34.0,41.0,39.0,39.0,39.0,40.0,40.0,34.0,35.0,41.0,38.0,37.0,37.0,42.0,40.0,35.0,35.0,39.0,40.0,39.0,37.0,39.0,39.0,34.0,34.0,40.0,39.0,38.0,38.0,40.0,39.0,34.0,35.0,39.0,39.0,37.0,37.0,39.0,38.0,33.0,34.0,38.0,38.0,37.0,37.0,38.0,38.0,33.0,34.0,37.0,36.0,35.0,35.0,38.0,38.0,34.0,34.0,37.0,37.0,37.0,36.0,39.0,39.0,34.0,34.0,36.0,37.0,35.0,36.0,38.0,38.0,33.0,33.0,36.0,36.0,34.0,34.0,37.0,37.0,32.0,33.0,34.0,35.0,33.0,33.0,,,,,,,,,39.25,38.9,37.2,35.53125
505.0,,17.0,0.5253,0.134,0.229,-0.025,0.097,43.0,41.0,39.0,40.0,41.0,42.0,42.0,41.0,45.0,46.0,43.0,41.0,39.0,41.0,42.0,40.0,36.0,39.0,38.0,37.0,34.0,35.0,35.0,34.0,34.0,33.0,34.0,34.0,,,40.0,40.0,34.0,34.0,,,51.0,46.0,38.0,41.0,41.0,41.0,36.0,36.0,45.0,42.0,39.0,42.0,41.0,41.0,35.0,36.0,42.0,41.0,39.0,40.0,41.0,40.0,35.0,35.0,41.0,41.0,38.0,39.0,41.0,40.0,34.0,34.0,41.0,39.0,39.0,39.0,40.0,40.0,34.0,35.0,41.0,38.0,37.0,37.0,42.0,40.0,35.0,35.0,39.0,40.0,39.0,37.0,39.0,39.0,34.0,34.0,40.0,39.0,38.0,38.0,40.0,39.0,34.0,35.0,39.0,39.0,37.0,37.0,39.0,38.0,33.0,34.0,38.0,38.0,37.0,37.0,38.0,38.0,33.0,34.0,37.0,36.0,35.0,35.0,38.0,38.0,34.0,34.0,37.0,37.0,37.0,36.0,39.0,39.0,34.0,34.0,36.0,37.0,35.0,36.0,38.0,38.0,33.0,33.0,36.0,36.0,34.0,34.0,37.0,37.0,32.0,33.0,34.0,35.0,33.0,33.0,,,,,,,,,39.25,38.9,37.2,35.53125
506.0,,17.0,0.5257,0.13,0.217,-0.03,0.097,43.0,41.0,39.0,40.0,40.0,41.0,42.0,41.0,45.0,46.0,43.0,41.0,39.0,41.0,42.0,40.0,36.0,39.0,38.0,37.0,34.0,35.0,35.0,34.0,34.0,33.0,34.0,34.0,,,40.0,40.0,34.0,34.0,,,51.0,46.0,38.0,41.0,41.0,41.0,36.0,35.0,45.0,42.0,39.0,42.0,41.0,41.0,35.0,36.0,42.0,41.0,39.0,40.0,41.0,40.0,35.0,35.0,41.0,41.0,38.0,39.0,41.0,40.0,35.0,34.0,41.0,39.0,39.0,39.0,40.0,40.0,34.0,35.0,41.0,38.0,37.0,37.0,42.0,40.0,35.0,35.0,39.0,40.0,39.0,37.0,39.0,39.0,34.0,34.0,40.0,39.0,38.0,38.0,40.0,39.0,34.0,35.0,39.0,39.0,37.0,37.0,39.0,38.0,33.0,34.0,38.0,38.0,37.0,37.0,38.0,38.0,33.0,34.0,37.0,36.0,35.0,35.0,38.0,38.0,34.0,34.0,37.0,37.0,37.0,36.0,39.0,39.0,34.0,34.0,36.0,37.0,35.0,36.0,38.0,38.0,33.0,33.0,36.0,36.0,34.0,34.0,37.0,37.0,32.0,33.0,34.0,35.0,33.0,33.0,,,,,,,,,39.19444444444444,38.9,37.2,35.53125
507.0,,17.0,0.5255,0.147,0.217,-0.03,0.097,43.0,41.0,39.0,40.0,40.0,41.0,42.0,41.0,45.0,46.0,43.0,41.0,39.0,41.0,42.0,39.0,36.0,39.0,38.0,37.0,34.0,35.0,35.0,34.0,34.0,33.0,34.0,34.0,,,40.0,40.0,34.0,34.0,,,51.0,46.0,38.0,41.0,41.0,41.0,36.0,35.0,45.0,42.0,39.0,42.0,41.0,41.0,35.0,36.0,42.0,41.0,39.0,40.0,41.0,40.0,35.0,35.0,41.0,41.0,38.0,39.0,41.0,40.0,35.0,34.0,41.0,39.0,39.0,39.0,40.0,40.0,34.0,35.0,41.0,38.0,37.0,37.0,42.0,40.0,35.0,35.0,39.0,40.0,39.0,37.0,39.0,39.0,34.0,34.0,40.0,39.0,38.0,38.0,40.0,39.0,34.0,35.0,39.0,39.0,37.0,37.0,39.0,38.0,33.0,34.0,38.0,38.0,37.0,37.0,38.0,38.0,33.0,34.0,37.0,36.0,35.0,35.0,38.0,38.0,34.0,34.0,37.0,37.0,37.0,36.0,39.0,39.0,34.0,34.0,36.0,37.0,35.0,36.0,38.0,38.0,33.0,33.0,36.0,36.0,34.0,34.0,37.0,37.0,32.0,33.0,34.0,35.0,33.0,33.0,,,,,,,,,39.166666666666664,38.9,37.2,35.53125
508.0,,17.0,0.5256,0.134,0.223,-0.025,0.09,43.0,41.0,39.0,40.0,40.0,41.0,42.0,41.0,45.0,46.0,43.0,41.0,39.0,41.0,42.0,39.0,36.0,39.0,38.0,37.0,34.0,35.0,35.0,34.0,34.0,33.0,34.0,34.0,,,40.0,40.0,34.0,34.0,,,50.0,46.0,38.0,41.0,41.0,41.0,36.0,35.0,45.0,42.0,39.0,42.0,41.0,41.0,35.0,36.0,42.0,41.0,39.0,40.0,41.0,40.0,35.0,35.0,41.0,41.0,38.0,39.0,41.0,40.0,35.0,34.0,41.0,39.0,39.0,39.0,40.0,40.0,34.0,35.0,41.0,38.0,37.0,37.0,42.0,40.0,35.0,35.0,39.0,40.0,39.0,37.0,39.0,39.0,34.0,34.0,40.0,39.0,38.0,38.0,40.0,39.0,34.0,35.0,39.0,39.0,37.0,37.0,39.0,38.0,33.0,34.0,38.0,38.0,37.0,37.0,38.0,38.0,33.0,34.0,37.0,36.0,35.0,35.0,38.0,38.0,34.0,34.0,37.0,37.0,37.0,36.0,39.0,38.0,34.0,34.0,36.0,37.0,35.0,36.0,38.0,38.0,33.0,33.0,36.0,36.0,34.0,34.0,37.0,37.0,32.0,33.0,34.0,35.0,33.0,33.0,,,,,,,,,39.138888888888886,38.9,37.2,35.5
509.0,,17.0,0.5256,0.126,0.234,-0.025,0.097,42.0,41.0,39.0,40.0,40.0,41.0,42.0,41.0,45.0,46.0,43.0,41.0,39.0,41.0,42.0,39.0,36.0,39.0,38.0,37.0,34.0,35.0,35.0,34.0,34.0,33.0,34.0,34.0,,,40.0,40.0,34.0,34.0,,,50.0,46.0,38.0,41.0,41.0,41.0,36.0,35.0,45.0,42.0,39.0,42.0,41.0,41.0,35.0,36.0,42.0,41.0,39.0,40.0,41.0,40.0,35.0,35.0,41.0,41.0,38.0,39.0,41.0,40.0,35.0,34.0,41.0,39.0,39.0,39.0,40.0,40.0,34.0,35.0,41.0,38.0,37.0,37.0,42.0,40.0,35.0,35.0,39.0,40.0,39.0,37.0,39.0,39.0,34.0,34.0,40.0,39.0,38.0,38.0,40.0,39.0,34.0,35.0,39.0,39.0,37.0,37.0,39.0,38.0,33.0,34.0,38.0,37.0,37.0,37.0,38.0,38.0,33.0,34.0,37.0,36.0,35.0,35.0,38.0,38.0,34.0,34.0,37.0,37.0,37.0,36.0,39.0,38.0,34.0,34.0,36.0,37.0,35.0,36.0,38.0,38.0,33.0,33.0,36.0,36.0,34.0,34.0,37.0,37.0,32.0,33.0,34.0,35.0,33.0,33.0,,,,,,,,,39.111111111111114,38.9,37.175,35.5
510.0,,17.0,0.5255,0.126,0.211,-0.03,0.117,42.0,41.0,39.0,40.0,40.0,41.0,42.0,41.0,45.0,46.0,43.0,41.0,39.0,41.0,42.0,39.0,36.0,39.0,38.0,37.0,34.0,35.0,35.0,34.0,34.0,33.0,34.0,34.0,,,40.0,40.0,34.0,34.0,,,50.0,46.0,38.0,41.0,41.0,41.0,36.0,35.0,45.0,42.0,39.0,42.0,41.0,41.0,35.0,36.0,42.0,41.0,39.0,40.0,41.0,40.0,35.0,35.0,41.0,41.0,38.0,39.0,41.0,40.0,34.0,34.0,41.0,39.0,39.0,39.0,40.0,40.0,34.0,35.0,41.0,38.0,37.0,37.0,42.0,40.0,34.0,35.0,39.0,40.0,39.0,37.0,39.0,39.0,34.0,34.0,40.0,39.0,38.0,38.0,40.0,39.0,34.0,35.0,39.0,39.0,37.0,37.0,39.0,38.0,33.0,34.0,38.0,37.0,37.0,37.0,38.0,38.0,33.0,34.0,37.0,36.0,35.0,35.0,38.0,38.0,34.0,34.0,37.0,37.0,37.0,36.0,39.0,38.0,34.0,34.0,36.0,37.0,35.0,36.0,38.0,38.0,33.0,33.0,36.0,36.0,34.0,34.0,37.0,37.0,32.0,33.0,34.0,35.0,33.0,33.0,,,,,,,,,39.111111111111114,38.875,37.15,35.5
511.0,,17.0,0.5255,0.147,0.252,-0.03,0.124,42.0,41.0,39.0,40.0,40.0,41.0,42.0,41.0,45.0,46.0,43.0,41.0,39.0,41.0,42.0,39.0,36.0,39.0,38.0,37.0,34.0,35.0,35.0,34.0,34.0,33.0,34.0,34.0,,,40.0,40.0,34.0,34.0,,,50.0,46.0,38.0,40.0,41.0,41.0,36.0,35.0,45.0,42.0,39.0,42.0,41.0,41.0,35.0,36.0,42.0,41.0,39.0,40.0,41.0,40.0,35.0,35.0,41.0,41.0,38.0,39.0,41.0,40.0,34.0,34.0,41.0,39.0,39.0,39.0,40.0,40.0,34.0,35.0,41.0,38.0,37.0,37.0,42.0,40.0,34.0,35.0,39.0,40.0,39.0,37.0,39.0,39.0,34.0,34.0,40.0,39.0,38.0,38.0,40.0,39.0,34.0,35.0,39.0,39.0,37.0,37.0,39.0,38.0,33.0,34.0,38.0,37.0,37.0,37.0,38.0,38.0,33.0,34.0,37.0,36.0,35.0,35.0,38.0,38.0,34.0,34.0,37.0,37.0,37.0,36.0,39.0,38.0,34.0,34.0,36.0,37.0,35.0,36.0,38.0,38.0,33.0,33.0,36.0,36.0,34.0,34.0,37.0,37.0,32.0,33.0,34.0,35.0,33.0,33.0,,,,,,,,,39.083333333333336,38.875,37.15,35.5
512.0,,17.0,0.5257,0.143,0.199,-0.025,0.11,42.0,41.0,39.0,40.0,40.0,41.0,42.0,41.0,45.0,46.0,42.0,41.0,39.0,41.0,42.0,39.0,36.0,39.0,38.0,37.0,34.0,35.0,35.0,34.0,34.0,33.0,34.0,34.0,,,40.0,40.0,34.0,34.0,,,50.0,46.0,38.0,40.0,41.0,41.0,36.0,35.0,45.0,42.0,39.0,42.0,41.0,41.0,35.0,36.0,42.0,41.0,39.0,40.0,41.0,40.0,35.0,35.0,41.0,41.0,38.0,39.0,41.0,40.0,35.0,34.0,41.0,39.0,39.0,39.0,40.0,40.0,34.0,35.0,41.0,38.0,37.0,37.0,42.0,40.0,34.0,35.0,39.0,40.0,39.0,37.0,39.0,39.0,34.0,34.0,40.0,39.0,38.0,38.0,40.0,39.0,34.0,35.0,39.0,39.0,37.0,37.0,39.0,38.0,33.0,34.0,38.0,37.0,37.0,37.0,38.0,38.0,33.0,34.0,37.0,36.0,35.0,35.0,38.0,38.0,34.0,34.0,37.0,37.0,37.0,36.0,39.0,38.0,34.0,34.0,36.0,37.0,35.0,36.0,38.0,38.0,33.0,33.0,36.0,36.0,34.0,34.0,37.0,37.0,32.0,33.0,34.0,35.0,33.0,33.0,,,,,,,,,39.05555555555556,38.9,37.15,35.5
